Country,Facebook Users (%)
India,18.188348002966674
United States,72.50697215715049
Brazil,65.39348007338579
Indonesia,50.07245900870387
Mexico,60.496652855927145
Philippines,65.48575840803464
Vietnam,68.54425109287861
Thailand,65.9025995681546
United Kingdom,64.81453152402783
Turkey,52.170366077205955
Egypt,41.43279126343473
Iran,47.623045120132645
Pakistan,16.781930962386475
Bangladesh,20.470657783689674
France,50.5564960340497
Germany,36.999930129809364
Argentina,66.37788745469875
Italy,49.61808464071197
Colombia,56.99361697038794
Japan,22.13850686413498
Nigeria,13.156133730333575
Malaysia,78.84817644590547
Saudi Arabia,68.13376197091097
Canada,60.939818114249654
Spain,49.192833297165905
Myanmar,40.80147326400759
South Korea,42.59088573379897
South Africa,35.880070863139956
Iraq,52.89577649997975
Peru,60.65779619186716
Taiwan,80.57346135234515
Algeria,43.32850091322798
Morocco,49.660584938294086
Australia,58.82379700237068
Poland,36.99142308937516
Russia,8.976632263871984
Chile,68.00514390908529
Venezuela,45.71679360696358
Nepal,35.75889301257708
Ecuador,56.67952951909573
Netherlands,57.19330730921129
Ukraine,21.7223480568628
Kazakhstan,49.241861206014455
Romania,46.263348340505104
United Arab Emirates,88.33816866088962
Cambodia,46.713417965765224
Syria,43.47999943773543
Tunisia,62.99382355925003
Kenya,13.018097982983337
Guatemala,37.955815858029176
Belgium,56.084654349843824
Sri Lanka,30.018798174905637
Sweden,62.380777214975545
Bolivia,52.257252000146316
Ethiopia,5.225132674182021
Israel,67.89874918188188
Portugal,56.881097616887956
Jordan,56.4042381487884
Hong Kong,71.50878466945562
Hungary,54.863430945728574
Dominican Republic,47.013664383277515
Libya,74.13452957609718
Greece,47.97058520468185
Ghana,15.769347863446459
Ivory Coast,18.03757137407853
Czech Republic,42.95460044237635
Singapore,76.40578961024843
Tanzania,7.150005713643058
Kuwait,95.84198459643922
Lebanon,58.12075256631619
Belarus,40.74365962513929
Afghanistan,9.885855412403085
Denmark,63.87898764580379
Switzerland,42.75172272110787
Austria,41.081906440288336
Senegal,20.35364822123269
Norway,62.7162673638748
El Salvador,52.41894143031248
Serbia,38.913306989024505
Honduras,34.32745993859221
Bulgaria,47.4926404396955
Paraguay,46.26684077953738
Costa Rica,62.81754761079347
Slovakia,58.6119016594861
Dr Congo,3.4802938493493674
New Zealand,64.28557060598274
Uzbekistan,9.244319322452943
Laos,42.00363958238266
Qatar,102.11544181936256
Ireland,54.68037699487179
Finland,48.73012893631153
Cameroon,10.171076374499483
Palestine,52.475646948081454
Oman,51.60746058160516
Yemen,8.556638772849052
Georgia,63.27135464622062
Nicaragua,37.738389633475705
Uganda,5.402154788590465
Mozambique,7.832237817198832
Kyrgyzstan,37.062043669755425
Uruguay,69.08999835911254
Madagascar,8.367334129788945
Zambia,12.255251930283773
Angola,6.827668194311785
Mongolia,68.11477935143017
